,track_id,track_name,artist,album_type,release_date,decade,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,3fqwjXwUGN6vbzIwvyFMhx,Tennessee Whiskey,Chris Stapleton,album,2015-05-04,2010,81,0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,293293,4
1,6foY66mWZN0pSRjZ408c00,Whiskey Glasses,Morgan Wallen,album,2018-04-27,2010,80,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959,234347,4
2,2rxQMGVafnNaRaXlRMWPde,Beautiful Crazy,Luke Combs,album,2018-06-01,2010,79,0.551,0.402,11,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313,193200,4
3,5MwynWK9s4hlyKHqhkNn4A,Chasin' You,Morgan Wallen,album,2018-04-27,2010,78,0.631,0.591,7,-5.785,1,0.0277,0.657,0.0,0.11,0.489,97.074,205453,4
4,1mMLMZYXkMueg65jRRWG1l,When It Rains It Pours,Luke Combs,album,2017-06-02,2010,78,0.551,0.801,6,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,240760,4
5,3xdjjKMcMOFgo1eQrfbogM,Wagon Wheel,Darius Rucker,album,2013-01-01,2010,78,0.537,0.66,9,-7.174,1,0.0296,0.455,0.0,0.135,0.574,148.096,298373,4
6,7aEtlGHoiPAfRB084NiDmx,Beer Never Broke My Heart,Luke Combs,album,2019-11-08,2010,77,0.538,0.863,1,-4.483,1,0.0481,0.0139,0.0,0.0874,0.637,77.001,186733,4
7,7yFhA2fUsL2oIMWlw5DaHQ,The Bones,Maren Morris,album,2019-03-08,2010,78,0.612,0.57,11,-6.642,0,0.0347,0.278,0.0,0.0963,0.334,77.004,197293,4
8,6gdLyYNuhWBzqwlOFSsXC7,Better Together,Luke Combs,album,2019-11-08,2010,76,0.552,0.225,0,-11.501,1,0.0477,0.827,0.0,0.111,0.67,138.002,219573,4
9,5kNe7PE09d6Kvw5pAsx23n,Die A Happy Man,Thomas Rhett,album,2015-01-01,2010,75,0.595,0.389,2,-9.245,1,0.0349,0.418,1.39e-06,0.116,0.4,166.052,227427,4
10,7cA3PnUQDlUyBBwpRozQeo,One Man Band,Old Dominion,album,2019-10-25,2010,76,0.706,0.358,6,-8.331,1,0.0347,0.677,0.0,0.107,0.478,75.991,186240,4
11,2tgQaL85WoRfgEa4hFQgrE,Feathered Indians,Tyler Childers,album,2017-08-04,2010,76,0.536,0.574,7,-6.705,1,0.0254,0.75,0.00277,0.105,0.877,87.194,224947,4
12,698eQRku24PIYPQPHItKlA,She Got the Best of Me,Luke Combs,album,2018-06-01,2010,76,0.533,0.907,11,-3.793,1,0.0406,0.0292,0.0,0.386,0.7,150.99,183160,4
13,6xHI9KjUjYT0FPtGO8Mxa1,Hurricane,Luke Combs,album,2017-06-02,2010,76,0.464,0.813,10,-6.185,1,0.0416,0.0153,0.0,0.254,0.515,75.977,222533,4
14,2qYsSHsYkihWx043HVJQRV,Dirt Road Anthem,Jason Aldean,album,2010-11-02,2010,73,0.68,0.741,2,-5.055,1,0.0357,0.347,1.87e-06,0.117,0.635,127.024,229400,4
15,3t5OV1asJHmOlf23T08CLv,Lady May,Tyler Childers,album,2017-08-04,2010,75,0.539,0.16,3,-13.285,1,0.0329,0.881,0.000268,0.105,0.322,81.446,183533,4
16,2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",Dan + Shay,single,2019-10-04,2010,81,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,167693,4
17,03fT3OHB9KyMtGMt2zwqCT,Play It Again,Luke Bryan,album,2013-01-01,2010,74,0.506,0.886,11,-3.225,1,0.0655,0.0916,0.0,0.0734,0.595,143.935,226867,4
18,10M2Ex445zw585Ducldzkw,In Case You Didn't Know,Brett Young,album,2017-02-10,2010,76,0.607,0.536,10,-7.306,1,0.0305,0.386,0.0,0.102,0.434,147.986,224853,4
19,2Dct3GykKZ58hpWRFfe2Qd,Heading South,Zach Bryan,single,2019-09-30,2010,74,0.68,0.246,4,-14.112,1,0.058,0.783,0.0,0.106,0.388,110.23,171693,4
20,3GJ4hzg4lrGwU51Y3VARbF,Speechless,Dan + Shay,album,2018-06-22,2010,75,0.616,0.438,1,-5.968,1,0.0298,0.356,0.0,0.24,0.386,135.929,213387,4
21,05ZACkzW8YbRq3eFgIfSNB,Springsteen,Eric Church,album,2011-01-01,2010,73,0.692,0.809,2,-5.935,1,0.0255,0.1,9.77e-05,0.185,0.927,104.023,263387,4
22,4TCc369aRPRubv1m8R1TBG,Got What I Got,Jason Aldean,album,2019-11-22,2010,73,0.512,0.58,3,-6.658,0,0.029,0.621,1.72e-05,0.513,0.303,159.847,178147,3
23,56eGOeSsqdg3FLxdo83TwV,Rumor,Lee Brice,album,2017-11-03,2010,73,0.655,0.56,9,-6.857,1,0.0486,0.749,0.0,0.115,0.599,140.975,198440,4
24,0i5el041vd6nxrGEU8QRxy,Cruise,Florida Georgia Line,album,2012-01-01,2010,73,0.457,0.948,10,-3.364,1,0.0354,0.0191,0.0,0.0536,0.878,148.0,208960,4
25,1yj1ZztSGITJ5Nf4mfH92c,Spin You Around,Morgan Wallen,single,2015-08-24,2010,74,0.517,0.877,4,-3.621,1,0.0297,0.00147,0.0,0.208,0.616,150.004,212850,4
