,track_id,track_name,artist,album_type,release_date,decade,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,4w3tQBXhn5345eUXDGBWZG,9 to 5,Dolly Parton,album,1980,1980,77,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39,162467,4
1,5tVA6TkbaAH9QMITTQRrNv,Free Fallin',Tom Petty,album,1989-01-01,1980,78,0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383,256000,4
2,4TnUKixNWMfajncgdSwFoi,Amarillo By Morning,George Strait,album,1982-01-01,1980,69,0.606,0.361,9,-16.031,1,0.0346,0.264,3.39e-05,0.38,0.621,121.059,173467,4
3,1ipcb9qXpSHWhSUvdxJhsx,"Forever and Ever, Amen",Randy Travis,album,1987-05-04,1980,68,0.677,0.724,2,-8.992,1,0.0245,0.143,0.000101,0.158,0.697,90.392,212640,4
4,43btz2xjMKpcmjkuRsvxyg,Jack & Diane,John Mellencamp,album,1982,1980,75,0.811,0.41,9,-8.214,1,0.0391,0.0365,6.63e-06,0.0799,0.626,103.965,254493,4
5,2uX5f3x2cObov0iDAPln4o,Song of the South,Alabama,album,1980,1980,68,0.486,0.633,9,-8.414,1,0.0365,0.176,0.0,0.312,0.669,162.158,190800,4
6,77dcKrzRUI02XjHd2okARp,A Country Boy Can Survive,"Hank Williams, Jr.",album,1981,1980,67,0.688,0.459,7,-9.353,1,0.0365,0.144,0.0,0.0816,0.493,75.184,255000,4
7,0VU5k3vCrpqDgUygMjiFYj,Copperhead Road,Steve Earle,album,1988-01-01,1980,68,0.372,0.588,7,-15.493,1,0.0411,0.0213,0.000103,0.0525,0.706,162.874,269920,4
8,7gSQv1OHpkIoAdUiRLdmI6,I Won't Back Down,Tom Petty,album,1989-01-01,1980,74,0.765,0.476,7,-13.487,1,0.0329,0.0504,2.76e-06,0.165,0.965,114.02,178360,4
9,1ynmMEK1fkyiZ6Z6F3ThEt,Centerfold,The J. Geils Band,album,1981,1980,74,0.653,0.677,0,-12.244,1,0.0396,0.249,0.0,0.403,0.888,114.37,216533,4
10,50PU05RTGva8laKDwxED9Y,Louisiana Saturday Night,Mel McDaniel,album,1980-11-10,1980,67,0.686,0.622,2,-7.31,1,0.0857,0.532,0.0,0.0511,0.982,163.245,144187,4
11,7jWbXvrgdbkajU8L28ahn5,Highwayman,The Highwaymen,album,1985-05-01,1980,70,0.67,0.351,2,-16.842,1,0.0463,0.48,0.0176,0.115,0.45,101.384,182653,4
12,3xx0jE52PbtvwXgNaBUdch,Deeper Than the Holler,Randy Travis,album,1988-07-12,1980,66,0.647,0.482,5,-8.591,1,0.0262,0.29,0.0,0.232,0.437,142.648,219080,4
13,4gvea7UlDkAvsJBPZAd4oB,The Boys Of Summer,Don Henley,album,1984-01-01,1980,77,0.516,0.549,6,-13.741,1,0.0373,0.501,0.00572,0.184,0.907,176.941,288733,4
14,7b4yGtR0rujvLi5EBfKKJ2,Take Me Home Tonight,Eddie Money,album,1986-10-15,1980,71,0.608,0.768,1,-9.911,1,0.0364,0.101,1.41e-06,0.0942,0.748,132.699,211160,4
15,0bM1z18RQpr61UuI1LemIK,Dixieland Delight,Alabama,album,1983,1980,65,0.444,0.413,2,-15.042,1,0.0326,0.163,2.05e-05,0.053,0.573,95.738,322093,4
16,1UBQ5GK8JaQjm5VbkBZY66,Sharp Dressed Man - 2008 Remaster,ZZ Top,album,1983-03-23,1980,74,0.601,0.859,5,-5.263,1,0.0276,0.000359,0.00124,0.0871,0.446,125.145,258027,4
17,67eX1ovaHyVPUinMHeUtIM,Hurts So Good,John Mellencamp,album,1982,1980,72,0.785,0.737,9,-5.306,1,0.0363,0.042,0.000107,0.108,0.971,125.447,218960,4
18,6dnco8haegnJYtylV26cBq,Islands In the Stream,Dolly Parton,compilation,1982-10-04,1980,68,0.617,0.411,8,-12.075,1,0.0373,0.675,1.04e-06,0.0886,0.738,203.934,251960,4
19,4wt2PBgqXZbvRiWSHDc4O4,The Ride,David Allan Coe,album,1983-04-01,1980,64,0.668,0.429,5,-12.365,1,0.0464,0.241,0.0,0.129,0.531,83.504,190133,4
20,4rcHWl68ai6KvpXlc8vbnE,Keep on Loving You,REO Speedwagon,album,1980,1980,72,0.306,0.722,0,-5.963,1,0.034,0.0519,0.0,0.117,0.41,174.732,200293,4
