,track_id,track_name,artist,album_type,release_date,decade,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
28,5xMNjx7uqCzMpJZSo4Wq55,"A Boy Named Sue - Live at San Quentin State Prison, San Quentin, CA - February 1969",Johnny Cash,album,1969-06-04,1960,61,0.63,0.489,10,-12.144,1,0.18,0.77,0.0,0.381,0.796,101.876,233813,4
29,18GiV1BaXzPVYpp9rmOg0E,Blowin' in the Wind,Bob Dylan,album,1963-05-27,1960,70,0.38,0.0993,2,-20.567,1,0.0509,0.914,2.32e-05,0.0605,0.44,174.874,165427,4
30,4K1imZQQ0yKtJ40vGmUajS,Girl from the North Country,Bob Dylan,album,1969-04-09,1960,66,0.607,0.142,7,-23.455,1,0.0382,0.843,0.000197,0.121,0.305,118.867,220400,4
31,2LyRC7gfWFJd6JI5i8fTJe,The Race Is On,George Jones,album,1964-11-01,1960,58,0.428,0.701,9,-7.73,1,0.0658,0.247,0.0,0.154,0.918,170.419,127400,4
32,691Wr3tOjDqic3OTPLouX3,Ramblin' Gamblin' Man,Bob Seger,album,1969-04-01,1960,62,0.601,0.84,9,-3.828,1,0.0509,0.0232,0.0,0.0569,0.896,130.811,145311,4
33,2nvcTDmZkRWKNMAL29sLHo,The Night They Drove Old Dixie Down,The Band,album,1969-09-22,1960,63,0.505,0.483,0,-9.272,1,0.0334,0.542,0.0,0.222,0.484,125.839,211787,4
34,121sjkub4p4zcFNozkKnQD,Folsom Prison Blues,Johnny Cash,album,1960-01-01,1960,57,0.754,0.54,5,-8.326,1,0.0266,0.687,7.51e-05,0.0868,0.79,101.738,168554,4
35,0LTSNmOLBt25GMjHlxp9OR,Folsom Prison Blues,Johnny Cash,album,1964-06-13,1960,60,0.689,0.527,5,-9.934,1,0.0314,0.194,0.0784,0.278,0.777,110.519,155640,4
36,6V9VCm1zOY2lGR80RehJ9i,Wichita Lineman - Remastered 2001,Glen Campbell,album,1968,1960,64,0.192,0.392,5,-11.667,1,0.0328,0.326,0.000199,0.248,0.391,172.312,186200,4
37,7AzFID6u1b3zIWbd9pb8Dk,Summer in the City - Remastered,The Lovin' Spoonful,album,1966-11,1960,66,0.423,0.681,10,-9.756,1,0.0398,0.0592,0.000177,0.0889,0.56,110.461,160307,4
38,2HCaIYjkvWSZzaSKUoOh3d,Mr. Tambourine Man,The Byrds,album,1965-06-21,1960,66,0.456,0.47,2,-9.564,1,0.0294,0.513,3.76e-05,0.444,0.639,120.336,149467,4
39,6xatfNMI8NkY5XxRHAeiS4,Stand By Your Man,Tammy Wynette,album,1964,1960,60,0.517,0.246,9,-11.992,1,0.0308,0.788,0.00105,0.133,0.525,105.24,159760,4
40,7aTCCNpHJD2Jgv0LLVJb8Y,Up On Cripple Creek,The Band,album,1969-09-22,1960,60,0.719,0.67,9,-9.113,1,0.0903,0.243,0.0223,0.0618,0.96,144.041,270293,4
41,5lEyMg4GNKnMbaarvT4sRd,These Eyes,The Guess Who,album,1969-03-01,1960,61,0.561,0.382,7,-11.276,1,0.0267,0.491,1.08e-06,0.156,0.758,96.447,225920,4
42,5pMZO580uekpfOoJcqF0ld,Frosty the Snowman,Gene Autry,album,1965,1960,59,0.596,0.675,8,-6.817,1,0.0326,0.312,0.0,0.341,0.966,81.121,113557,4
43,0FJbyybRjxOyalg9M9q6IJ,Union Dixie,Tennessee Ernie Ford,album,1961-07-10,1960,57,0.794,0.671,5,-6.896,1,0.0332,0.644,0.0,0.343,0.978,105.683,142067,4
44,5CGpPUcUahMuLzkNK9ZgPP,Dear Mr. Fantasy,Traffic,album,1967-12-08,1960,63,0.24,0.615,2,-14.117,1,0.0677,0.171,0.0125,0.0801,0.768,166.657,334000,4
45,4uYwlMp841PLJmj1gJJwIq,"Lay, Lady, Lay",Bob Dylan,album,1969-04-09,1960,64,0.52,0.179,11,-21.976,0,0.0454,0.356,0.00344,0.131,0.407,155.746,197093,4
46,3c2kMiSB86tVq1J4oULmvL,Groovin',The Young Rascals,album,1967,1960,61,0.605,0.455,5,-8.903,0,0.0301,0.595,0.0,0.0816,0.678,106.825,151289,4
47,3vO2BbrhKNV2PDl276BUIZ,Cotton Fields,Creedence Clearwater Revival,album,1969-11-02,1960,66,0.582,0.641,9,-7.621,1,0.0297,0.237,0.0,0.132,0.86,148.634,177267,4
48,5jRQvcl66ovRTjUwzXziZA,Midnight Special,Creedence Clearwater Revival,album,1969-11-02,1960,64,0.763,0.462,2,-9.432,1,0.105,0.661,0.0,0.112,0.672,124.491,253867,4
49,4RGxUjaCmVtD30pIhtEi7w,Sunshine Superman,Donovan,album,1966-09,1960,61,0.629,0.677,1,-7.239,1,0.0299,0.122,9.72e-06,0.0962,0.627,132.783,195000,4
50,3RkQ3UwOyPqpIiIvGVewuU,Mr. Tambourine Man,Bob Dylan,album,1965-03-22,1960,64,0.39,0.31,5,-14.545,1,0.0676,0.794,0.0,0.379,0.584,177.515,330533,4
51,1Ch2cPleHoVVXLVRRrGF6o,Don't Come Home A-Drinkin' (With Lovin' On Your Mind),Loretta Lynn,album,1967-01-01,1960,55,0.691,0.604,1,-6.587,1,0.062,0.658,0.000597,0.189,0.885,83.602,126920,4
52,1Ay5MiilZj2ZGQLeTWVJ6o,Lodi,Creedence Clearwater Revival,album,1969-08-03,1960,63,0.773,0.675,5,-8.697,1,0.0281,0.324,0.000112,0.0896,0.925,126.866,193293,4
53,0HLBLRkkTOlAmjonShicD0,I'll Be Here in the Morning,Townes Van Zandt,album,1969-09,1960,55,0.558,0.17,4,-18.882,1,0.0331,0.887,0.037,0.113,0.635,76.835,180107,4
54,7FIcV2kEiO2mvvMbxU5Jkn,The Little Drummer Boy,Johnny Cash,album,1963-11-14,1960,62,0.686,0.497,0,-10.422,0,0.0579,0.967,0.000416,0.105,0.559,118.871,152267,4
