,track_id,track_name,artist,album_type,release_date,decade,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
151,38CnG9HxpVtqXVqpESBr6H,Too Much Fun,Daryle Singletary,album,1995-05-20,1990,52,0.681,0.888,7,-4.635,1,0.0656,1.46e-06,0.573,0.797,151.785,164165,4
152,6o7BCdJjGvHBBPMb4ZrA68,Country Club,Travis Tritt,album,1990,1990,52,0.805,0.57,4,-8.215,1,0.0272,1.46e-05,0.106,0.76,126.478,190800,4
153,2GORop0i2cyx8C0A3JzL44,Dance with Me,Orleans,compilation,1997-06-24,1990,57,0.565,0.392,2,-10.083,1,0.0268,0.000106,0.247,0.493,98.485,180480,4
154,3NJn7p1nrI3R8alivEMPwB,You Had Me from Hello,Kenny Chesney,album,1999-02-26,1990,53,0.595,0.393,2,-9.909,1,0.0292,0.0,0.153,0.2,137.744,230827,4
155,7a014uMHF3nlqzXCxV551C,Soulshine,Allman Brothers Band,album,1994-05-03,1990,57,0.476,0.556,10,-6.501,1,0.0274,0.0117,0.0898,0.559,135.624,403507,4
156,4NpYrBb5iuDqW1S5qrU3b6,Feelin' Good Again,Robert Earl Keen,album,1998-10-27,1990,51,0.57,0.408,7,-12.572,1,0.036,2.61e-05,0.108,0.495,110.08,196867,4
157,346GCw2msr77HA5I5NFsKS,What's It to You,Clay Walker,album,1993,1990,51,0.722,0.571,2,-13.225,1,0.0363,0.0,0.112,0.928,117.813,166627,4
158,3eIc0XWlqNkT290DfwNyBJ,Don't Close Your Eyes,Keith Whitley,compilation,1990-08-07,1990,52,0.618,0.271,7,-13.695,1,0.026,0.000558,0.129,0.264,78.334,251560,4
159,5FPtuiOupQoAprcMk74ZwP,Daddy Never Was the Cadillac Kind,Confederate Railroad,album,1994,1990,52,0.586,0.517,4,-12.88,1,0.0268,1.91e-06,0.272,0.637,77.189,223667,3
160,7AHw9SfOITU9Q7sj3V5vxV,My Next Thirty Years,Tim McGraw,album,1999-05-04,1990,51,0.605,0.804,5,-7.521,1,0.0363,4.93e-06,0.345,0.601,98.866,217733,4
161,2h5a6t9JFasqH5WJFPbmGL,One More Last Chance,Vince Gill,album,1992-01-01,1990,52,0.525,0.878,2,-8.677,1,0.0404,0.0,0.291,0.963,176.249,191200,4
162,2nww8CKg1BqCh6Eyr6sr6m,Conversation With The Devil,Ray Wylie Hubbard,album,1999-07-20,1990,51,0.672,0.435,7,-9.043,1,0.0443,0.0,0.177,0.619,111.927,294053,4
163,3PJ9yQv8IUmLx24KFvaVEI,Drivin' My Life Away,Eddie Rabbitt,compilation,1991,1990,54,0.66,0.639,9,-12.749,1,0.0369,0.00104,0.0442,0.843,84.124,194667,4
164,1wtcyTExLF8nZu9ZphHIl1,American Made,The Oak Ridge Boys,album,1992-01-01,1990,51,0.696,0.527,8,-14.275,1,0.0329,0.000897,0.0377,0.974,128.962,159867,4
165,1NIUECyq3vHFrWeFGKvESB,Is There Life Out There,Reba McEntire,album,1991-01-01,1990,51,0.662,0.536,8,-10.609,1,0.0342,0.0,0.0734,0.565,96.729,232667,4
