,track_id,track_name,artist,album_type,release_date,decade,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
853,2fdMAIsNH4wY7RRda8aCfL,You and I,Wilco,album,2009,2000,47,0.71,0.652,8,-7.476,1,0.0294,0.285,2.87e-05,0.166,0.597,122.189,205240,4
854,5vT9Cr1THzwHNs8m6kaLFK,Mowin' Down The Roses,Jamey Johnson,album,2008-01-01,2000,43,0.686,0.59,4,-8.743,0,0.0576,0.19,0.236,0.132,0.499,75.414,261760,4
855,1kyPB0bIDkXsNBHJ5uefbA,Beer Or Gasoline,Chris Young,album,2006-10-02,2000,44,0.571,0.935,9,-2.036,1,0.0448,0.191,0,0.0937,0.753,181.892,208907,4
856,7zieqQmOHSLPBv3zHgZJEJ,Let Me Love You on a Backroad (The Roadhead Song),Corey Smith,single,2008-07-08,2000,44,0.501,0.543,2,-8.155,1,0.0497,0.672,0,0.297,0.43,126.351,240133,4
857,1RrmaSK3GCuQKG4sIy9hjT,Bang On The Drum All Day,Todd Rundgren,album,2003,2000,50,0.677,0.947,7,-5.375,1,0.0793,0.0191,5.03e-05,0.126,0.94,142.546,214200,4
858,4rNPfJ1S6Y3B48yIt1V70V,Sweet Home Alabama,Lynyrd Skynyrd,album,2008-07-08,2000,54,0.613,0.716,7,-7.782,1,0.025,0.23,0.000364,0.261,0.922,97.847,283800,4
859,1eQRW2fZHZI48vuo66YMCM,Angel Flying Too Close to the Ground,Willie Nelson,album,2008-04-01,2000,47,0.458,0.394,9,-11.146,1,0.0337,0.884,0.0172,0.152,0.115,125.922,267693,4
860,6pvl3g9am21RDPb4Oh5Bvx,Free / Into the Mystic - Live from Bonnaroo,Zac Brown Band,single,2009-08-11,2000,44,0.267,0.54,1,-7.639,1,0.0312,0.0213,7e-05,0.929,0.137,146.739,445507,4
861,3cXMt1SIh2nPfdAwgS24je,Keg in the Closet,Kenny Chesney,album,2004-01-22,2000,44,0.651,0.908,1,-6.367,1,0.0468,0.00356,1.53e-05,0.0458,0.749,138.882,213493,4
862,5mauEJi1HE8Rl0esGoPgKI,The Christmas Song,Alan Jackson,album,2002-10-22,2000,46,0.308,0.247,5,-10.547,1,0.0315,0.805,5.34e-05,0.341,0.143,60.439,233000,4
863,6LnjelBSl5xYpdfhfFTJbX,Some Kind Of Wonderful,Grand Funk Railroad,compilation,2006-01-01,2000,51,0.846,0.721,2,-5.248,1,0.0494,0.163,0,0.194,0.638,121.417,203253,4
864,1rXn9CgyDaiZ9rCqwxLYim,Probably Wouldn't Be This Way,LeAnn Rimes,album,2005-01-25,2000,45,0.613,0.426,2,-6.418,1,0.0289,0.516,0,0.131,0.129,129.644,217947,4
865,5hr1Po9WfrdAuPMj0lVEA3,3 Shades Of Black,Hank Williams III,album,2008-10-21,2000,47,0.597,0.554,11,-7.234,0,0.0324,0.65,6.35e-06,0.709,0.263,120.0,255467,4
866,6zBvnHbKJgNxZgJQdNfupl,I Want To Stroll Over Heaven With You,Alan Jackson,album,2006,2000,45,0.577,0.265,2,-11.462,1,0.0273,0.79,0,0.114,0.365,83.381,186587,3
867,3Mau3nU0sqcxc5z8vHmTYR,"Theme from ""The Dukes of Hazzard"" (Good Ol' Boys)",Waylon Jennings,album,2006-09-26,2000,46,0.586,0.843,5,-11.319,1,0.0382,0.12,0.231,0.12,0.912,147.6,127600,4
868,5oqiovQufNFDhA2PpvsaCF,Up! - Red Version,Shania Twain,album,2002-01-01,2000,51,0.657,0.755,5,-4.067,1,0.0374,0.0143,0,0.556,0.707,125.974,172973,4
869,6mJMvtuCMZt4XXNs5zw1zx,Cry,Faith Hill,album,2002-10-15,2000,46,0.512,0.645,8,-5.631,1,0.029,0.141,0,0.0987,0.283,111.015,226307,3
870,1Iq7wiQa7eOnoHKomMkiir,Merry Christmas From The Family,Robert Earl Keen,album,2004-08-10,2000,43,0.564,0.471,7,-10.011,1,0.03,0.519,0,0.953,0.451,113.565,235920,4
871,3NOq1Gpiy4KwDni8NhOmHQ,Ugly,Bubba Sparxxx,album,2001-01-01,2000,47,0.755,0.836,6,-5.742,1,0.166,0.32,3.03e-05,0.199,0.696,90.847,265227,4
872,6h0lrpGtRIwbBiPHthDB3o,Dyslexic Heart,Paul Westerberg,album,2005-05-17,2000,49,0.637,0.902,0,-5.064,1,0.0292,0.0391,3.36e-06,0.128,0.843,136.572,271200,4
873,3H4kUz8JTG0pLBvt2XUQ6R,Without You Here,Eric Church,album,2009-01-01,2000,44,0.7,0.841,0,-4.764,1,0.0323,0.075,2.91e-05,0.392,0.825,116.982,162493,4
874,78Pny5O5RDkHJNPZf1QcFs,Life in the Fast Lane - 2013 Remaster,Eagles,compilation,2003-10-21,2000,47,0.667,0.755,9,-7.246,1,0.069,0.0966,6.94e-05,0.0523,0.883,109.535,286220,4
875,2KYqHqfiCSAzDpnytaZCeL,Life In A Northern Town - Live,Little Big Town,album,2007,2000,46,0.56,0.652,0,-5.655,1,0.0377,0.369,1.14e-05,0.93,0.215,117.902,256267,4
876,1QPO9WrFcfbOshnHChhud3,"Honey, I'm Home",Shania Twain,compilation,2004-01-01,2000,46,0.621,0.744,4,-4.929,1,0.128,0.152,0,0.195,0.862,160.455,216933,4
877,5D2Sr7fTxeVfO4cYniJG7X,Cryin' for Me (Wayman's Song),Toby Keith,album,2009-10-06,2000,44,0.51,0.398,8,-7.685,0,0.0284,0.362,0.00139,0.112,0.261,156.08,285507,4
878,4r1HejiaP4Upb4S5ebbEKB,Carrying Your Love With Me - Edit,George Strait,album,2004-01-01,2000,43,0.641,0.508,10,-9.683,1,0.0289,0.341,0,0.144,0.334,138.251,187680,4
879,3aVCHTY93NQQbOcDDbwwXA,Every Time I Hear Your Name,Keith Anderson,album,2005,2000,43,0.562,0.757,1,-3.945,1,0.0253,0.277,0,0.0745,0.299,93.02,263027,4
880,6Gd842MwS4ySeBdQTU09sh,Already Gone,Sugarland,album,2008-01-01,2000,44,0.48,0.596,1,-5.844,1,0.03,0.214,1.06e-05,0.151,0.332,154.769,275867,3
881,4GWQYgA00ta6S6mI9YXXif,Spooky,Atlanta Rhythm Section,compilation,2007-05-15,2000,49,0.719,0.657,0,-3.863,0,0.0259,0.00952,0.0202,0.0875,0.896,105.982,308027,4
882,5pIeAR8dNOSEGd2uoXUadB,Away In A Manger,Alan Jackson,album,2002-10-22,2000,46,0.395,0.244,0,-9.937,1,0.0273,0.923,2.58e-06,0.123,0.291,84.912,168280,3
883,6hDkCNq4s5ozvE86RqRIIz,Dream Walkin',Toby Keith,album,2008-01-01,2000,45,0.7,0.77,5,-5.116,1,0.0282,0.355,0,0.0919,0.513,117.566,235627,4
884,0FvYbfE2siVMEoXM8j0p5u,Someday When I Stop Loving You,Carrie Underwood,album,2009,2000,44,0.545,0.401,0,-5.606,1,0.0275,0.745,1.74e-06,0.107,0.197,127.79,242573,4
885,5dEOntLHunr3jYzS1XBNmk,"Another Park, Another Sunday - 2006 Remaster",The Doobie Brothers,compilation,2007-02-06,2000,49,0.516,0.547,9,-9.693,1,0.0273,0.315,2.45e-05,0.163,0.741,113.417,267627,4
886,78NDstvbMtbdiPsYmGrHid,Home,Blake Shelton,album,2007-05-01,2000,43,0.38,0.443,7,-6.972,1,0.0268,0.479,3.03e-06,0.11,0.281,63.122,230453,4
887,4xvMOj9QANlmQ7If03em5Q,Honky Tonk Stomp (feat. Billy Gibbons),Brooks & Dunn,album,2009-09-08,2000,46,0.632,0.927,9,-4.219,1,0.063,0.00413,2.84e-05,0.21,0.674,97.964,181227,4
888,3NGzaY9pJjoMvP4gnnajGF,Devil's Right Hand,Johnny Cash,album,2003-01-01,2000,46,0.668,0.534,5,-7.484,1,0.0489,0.965,0.0379,0.109,0.96,150.866,152693,4
889,4dIrj82d70x7vGmUxTyOYC,Up!,Shania Twain,album,2002-01-01,2000,48,0.618,0.748,0,-4.131,1,0.0373,0.0869,0,0.647,0.584,125.94,172907,4
890,776wdb7j6xJuLJDVay0zww,Another Try,Josh Turner,album,2007-01-01,2000,44,0.511,0.472,10,-8.119,1,0.0284,0.544,0.000519,0.104,0.261,123.247,225787,4
891,07j5RLJHwsm4cUb3GGoW3w,9 to 5,Dolly Parton,compilation,2009-10-30,2000,48,0.557,0.615,6,-10.638,1,0.0418,0.5,1.02e-06,0.487,0.82,104.475,165653,4
892,62OSkUK2xRWDQBDmksytdJ,I Play Chicken with the Train (with Big & Rich),Cowboy Troy,album,2005-05-17,2000,44,0.709,0.948,11,-3.388,0,0.0992,0.0728,0,0.214,0.679,128.051,196812,4
893,7m7xeu7IMHPFbSJxNII3G6,Wishing Well,Ryan Bingham,album,2009-01-01,2000,45,0.655,0.52,7,-5.941,1,0.0334,0.357,5.14e-05,0.142,0.498,135.33,238213,4
894,3bvr2R5FUjrC3orh47Qe5V,How Am I Doin',Dierks Bentley,album,2003-01-01,2000,44,0.528,0.871,9,-8.01,1,0.122,0.125,0,0.23,0.675,181.903,228438,4
895,5frxvwveMrxPm1kIUXRSmG,Cocaine,Jackson Taylor & the Sinners,album,2009-06-23,2000,47,0.647,0.875,2,-4.615,1,0.0368,0.00126,0.00141,0.14,0.811,119.952,255147,4
896,534bvgqusXzhI13Olu56oX,Down the Road,Kenny Chesney,album,2008-10-14,2000,43,0.621,0.549,4,-9.45,1,0.0401,0.431,0,0.104,0.469,77.683,181333,4
