,track_id,track_name,artist,album_type,release_date,decade,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,Eagles,album,1976-12-08,1970,84,0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,391376,4
1,7e89621JPkKaeDSTQ3avtg,Sweet Home Alabama,Lynyrd Skynyrd,album,1974-04-15,1970,81,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,283800,4
2,1QEEqeFIZktqIpPI4jSVSF,More Than a Feeling,Boston,album,1976,1970,79,0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789,285133,4
3,5DnT9a5IM3eMjKgXTWVJvi,Have You Ever Seen The Rain,Creedence Clearwater Revival,album,1970-12-07,1970,73,0.743,0.47,0,-13.154,1,0.029,0.0936,3.15e-05,0.186,0.89,116.122,160333,4
4,4yugZvBYaoREkJKtbG08Qr,Take It Easy - 2013 Remaster,Eagles,album,1972,1970,77,0.575,0.67,7,-10.39,1,0.0318,0.343,4.95e-06,0.129,0.74,139.191,211578,4
5,1bp2IO61zbQrbWNmKKxg3f,The Joker,Steve Miller Band,album,1973-01-01,1970,76,0.596,0.448,5,-9.616,1,0.0396,0.365,5.3e-06,0.206,0.796,83.293,264504,4
6,383Xl5QTigwj3QiA3Qc6S7,The Devil Went Down to Georgia,The Charlie Daniels Band,album,1973,1970,70,0.523,0.626,0,-9.425,1,0.0523,0.155,0.0,0.0869,0.917,134.127,214867,4
7,5EWPGh7jbTNO2wakv8LjUI,Free Bird,Lynyrd Skynyrd,album,1973-01-01,1970,76,0.249,0.834,0,-8.21,1,0.0577,0.0738,9.48e-05,0.0924,0.338,118.223,547107,4
8,7MRyJPksH3G2cXHN8UKYzP,American Girl,Tom Petty and the Heartbreakers,album,1976-11-09,1970,74,0.55,0.824,2,-5.988,1,0.0334,0.448,0.000127,0.366,0.777,114.512,214733,4
9,0Xrev0e2wVRSkq84SJiEMg,We Wish You A Merry Christmas,John Denver,album,1979-12-05,1970,72,0.677,0.353,9,-15.636,1,0.0716,0.814,0.0,0.0904,0.777,84.535,65347,1
