,track_id,track_name,artist,album_type,release_date,decade,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,4BP3uh0hFLFRb5cjsgLqDh,Fortunate Son,Creedence Clearwater Revival,album,1969-11-02,1960,82,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,140773,4
0,20OFwXhEXf12DzwXmaV7fj,Bad Moon Rising,Creedence Clearwater Revival,album,1969-08-03,1960,79,0.508,0.774,2,-5.973,1,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,141600,4
0,1qRA5BS78u3gME0loMl9AA,For What It's Worth,Buffalo Springfield,album,1966-12-05,1960,76,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,153693,4
0,6YffUZJ2R06kyxyK6onezL,Ring of Fire,Johnny Cash,compilation,1963-08-06,1960,71,0.659,0.585,7,-8.189,1,0.0288,0.623,0.000213,0.348,0.784,104.111,158427,4
0,2fDHuS1PTkHBbCWWZF1ph9,"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA - January 1968",Johnny Cash,album,1968-05-01,1960,69,0.621,0.524,0,-15.269,1,0.0803,0.0652,0.00199,0.893,0.889,110.586,162653,4
0,0P7DoyGrr4Wp9w5TotEtUC,The Weight - Remastered 2000,The Band,album,1968-07-01,1960,73,0.63,0.551,9,-9.28,1,0.0549,0.373,5.75e-05,0.103,0.518,143.868,274493,4
0,2gE95JskwQ1pCACTpGe1Db,Down On The Corner,Creedence Clearwater Revival,album,1969-11-02,1960,73,0.858,0.544,0,-9.289,1,0.0751,0.583,0.00109,0.0707,0.874,108.217,166280,4
0,4c4jJJoaiY21t2TyRZgdWS,Magic Carpet Ride,Steppenwolf,album,1968-10-01,1960,70,0.64,0.651,4,-14.981,0,0.0517,0.142,0.28,0.0341,0.801,111.676,271573,4
0,1udKn1oNKYQSQ9OmiIWCMu,Do You Believe in Magic?,The Lovin' Spoonful,album,1965-11,1960,70,0.553,0.738,0,-7.963,1,0.0457,0.213,0.0,0.339,0.759,138.602,125827,4
0,3XG7bMVcMWLIn2k9jLAaAt,King Of The Road,Roger Miller,album,1965-01-01,1960,65,0.67,0.272,11,-13.699,1,0.0704,0.717,0.0,0.178,0.613,117.996,147307,4
0,3lN8PP6R2IxbLP05QpYXng,Born To Be Wild - Single Version,Steppenwolf,album,1968-01-01,1960,67,0.439,0.734,2,-12.168,1,0.097,0.262,0.333,0.244,0.54,145.703,212893,4
0,3G7tRC24Uh09Hmp1KZ7LQ2,I'm a Believer - 2006 Remaster,The Monkees,album,1967-01-09,1960,74,0.526,0.775,0,-6.05,1,0.0352,0.707,2.05e-05,0.217,0.962,80.106,167373,4
